OCC_CODE,OCC_TITLE,low_wfh,low_wfh_binary,low_wfh_q1,low_wfh_q2,low_wfh_q3,low_wfh_q4,high_wfh,pp,pp_binary,pp_q1,pp_q2,pp_q3,pp_q4
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",0.75,1,0,0,0,1,0.25,0.6226415094339622,0,0,1,0,0
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.75,1,0,0,0,1,0.25,0.6037735849056604,0,0,1,0,0
31-9093,Medical Equipment Preparers,0.75,1,0,0,0,1,0.25,0.7547169811320754,1,0,0,0,1
53-5021,"Captains, Mates, and Pilots of Water Vessels",0.75,1,0,0,0,1,0.25,0.692722371967655,1,0,0,1,0
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.75,1,0,0,0,1,0.25,0.894878706199461,1,0,0,0,1
47-2231,Solar Photovoltaic Installers,0.75,1,0,0,0,1,0.25,0.816711590296496,1,0,0,0,1
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.75,1,0,0,0,1,0.25,0.6307277628032346,0,0,1,0,0
53-7031,Dredge Operators,0.75,1,0,0,0,1,0.25,0.21563342318059295,0,1,0,0,0
29-1126,Respiratory Therapists,0.75,1,0,0,0,1,0.25,0.9272237196765499,1,0,0,0,1
53-2012,Commercial Pilots,0.75,1,0,0,0,1,0.25,0.7924528301886794,1,0,0,0,1
47-5023,"Earth Drillers, Except Oil and Gas",0.75,1,0,0,0,1,0.25,0.3719676549865229,0,1,0,0,0
29-1151,Nurse Anesthetists,0.75,1,0,0,0,1,0.25,0.8760107816711591,1,0,0,0,1
47-2043,Floor Sanders and Finishers,0.75,1,0,0,0,1,0.25,0.45013477088948783,0,1,0,0,0
51-8099,"Plant and System Operators, All Other",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.45013477088948783,0,1,0,0,0
11-9171,Funeral Home Managers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.849056603773585,1,0,0,0,1
53-7072,"Pump Operators, Except Wellhead Pumpers",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.47978436657681933,0,1,0,0,0
47-2021,Brickmasons and Blockmasons,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.8140161725067384,1,0,0,0,1
47-2051,Cement Masons and Concrete Finishers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.84366576819407,1,0,0,0,1
47-2061,Construction Laborers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6199460916442048,0,0,1,0,0
49-9041,Industrial Machinery Mechanics,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6442048517520216,1,0,0,1,0
49-9096,Riggers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.711590296495957,1,0,0,1,0
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5525606469002695,0,0,1,0,0
37-3013,Tree Trimmers and Pruners,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5579514824797843,0,0,1,0,0
47-4051,Highway Maintenance Workers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6576819407008087,1,0,0,1,0
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6583557951482479,1,0,0,1,0
49-9045,"Refractory Materials Repairers, Except Brickmasons",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7789757412398921,1,0,0,0,1
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.22911051212938008,0,1,0,0,0
39-6011,Baggage Porters and Bellhops,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7654986522911051,1,0,0,0,1
39-4011,Embalmers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7978436657681941,1,0,0,0,1
47-3012,Helpers--Carpenters,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7493261455525607,1,0,0,0,1
51-5112,Printing Press Operators,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.4555256064690027,0,1,0,0,0
47-2121,Glaziers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7951482479784368,1,0,0,0,1
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5498652291105123,0,0,1,0,0
33-3051,Police and Sheriff's Patrol Officers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7443283917340522,1,0,0,1,0
19-4071,Forest and Conservation Technicians,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6495956873315364,1,0,0,1,0
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.4258760107816712,0,1,0,0,0
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.35040431266846367,0,1,0,0,0
47-5071,"Roustabouts, Oil and Gas",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7142857142857143,1,0,0,1,0
47-2171,Reinforcing Iron and Rebar Workers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6873315363881402,1,0,0,1,0
47-2181,Roofers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7547169811320754,1,0,0,0,1
47-2211,Sheet Metal Workers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5741239892183289,0,0,1,0,0
53-7021,Crane and Tower Operators,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.4393530997304582,0,1,0,0,0
29-1124,Radiation Therapists,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.9784366576819407,1,0,0,0,1
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.4258760107816712,0,1,0,0,0
53-1041,Aircraft Cargo Handling Supervisors,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6576819407008085,1,0,0,1,0
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.49595687331536387,0,1,0,0,0
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.6873315363881402,1,0,0,1,0
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5929919137466308,0,0,1,0,0
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5013477088948787,0,1,0,0,0
29-1024,Prosthodontists,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.9892183288409704,1,0,0,0,1
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.7169811320754718,1,0,0,1,0
47-2072,Pile Driver Operators,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.711590296495957,1,0,0,1,0
51-8013,Power Plant Operators,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.5645496406109614,0,0,1,0,0
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.6666666666666666,1,0,0,0,1,0.33333333333333337,0.705814401232191,1,0,0,1,0
49-3011,Aircraft Mechanics and Service Technicians,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.4986522911051213,0,1,0,0,0
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.4743935309973045,0,1,0,0,0
53-7061,Cleaners of Vehicles and Equipment,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.522911051212938,0,0,1,0,0
53-7051,Industrial Truck and Tractor Operators,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5121293800539083,0,1,0,0,0
49-2098,Security and Fire Alarm Systems Installers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6010781671159029,0,0,1,0,0
53-7011,Conveyor Operators and Tenders,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.32075471698113206,0,1,0,0,0
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.633423180592992,1,0,0,1,0
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5822102425876011,0,0,1,0,0
29-2031,Cardiovascular Technologists and Technicians,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.967654986522911,1,0,0,0,1
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.3719676549865229,0,1,0,0,0
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5660377358490566,0,0,1,0,0
53-2031,Flight Attendants,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.9245283018867924,1,0,0,0,1
53-3031,Driver/Sales Workers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.436657681940701,0,1,0,0,0
51-4192,"Layout Workers, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5309973045822102,0,0,1,0,0
47-4091,Segmental Pavers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.601078167115903,0,0,1,0,0
39-2021,Animal Caretakers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6361185983827494,1,0,0,1,0
49-9031,Home Appliance Repairers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6442048517520216,1,0,0,1,0
49-9063,Musical Instrument Repairers and Tuners,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.43396226415094336,0,1,0,0,0
49-3091,Bicycle Repairers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6199460916442047,0,0,1,0,0
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6469002695417789,1,0,0,1,0
47-4031,Fence Erectors,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7142857142857143,1,0,0,1,0
47-4041,Hazardous Materials Removal Workers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6442048517520216,1,0,0,1,0
45-2091,Agricultural Equipment Operators,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.34501347708894875,0,1,0,0,0
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.536388140161725,0,0,1,0,0
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6576819407008087,1,0,0,1,0
31-1132,Orderlies,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.9622641509433963,1,0,0,0,1
31-9091,Dental Assistants,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.9380053908355794,1,0,0,0,1
31-9097,Phlebotomists,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7439353099730458,1,0,0,1,0
33-1011,First-Line Supervisors of Correctional Officers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7385444743935311,1,0,0,1,0
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.47978436657681933,0,1,0,0,0
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5606469002695419,0,0,1,0,0
49-2091,Avionics Technicians,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6307277628032345,0,0,1,0,0
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.353099730458221,0,1,0,0,0
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5741239892183289,0,0,1,0,0
19-4092,Forensic Science Technicians,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7142857142857143,1,0,0,1,0
29-2033,Nuclear Medicine Technologists,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.84366576819407,1,0,0,0,1
29-2035,Magnetic Resonance Imaging Technologists,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.706199460916442,1,0,0,1,0
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6307277628032346,0,0,1,0,0
33-3052,Transit and Railroad Police,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7681940700808625,1,0,0,0,1
37-3011,Landscaping and Groundskeeping Workers,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7385444743935311,1,0,0,1,0
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.61455525606469,0,0,1,0,0
45-4022,Logging Equipment Operators,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.07008086253369272,0,1,0,0,0
51-9191,Adhesive Bonding Machine Operators and Tenders,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6738544474393531,1,0,0,1,0
51-9022,"Grinding and Polishing Workers, Hand",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.5876010781671159,0,0,1,0,0
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.6226415094339622,0,0,1,0,0
33-3031,Fish and Game Wardens,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.7385444743935311,1,0,0,1,0
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.2695417789757412,0,1,0,0,0
51-9193,Cooling and Freezing Equipment Operators and Tenders,0.5833333333333334,1,0,0,0,1,0.41666666666666663,0.4474393530997305,0,1,0,0,0
53-7041,Hoist and Winch Operators,0.5,1,0,0,0,1,0.5,0.5444743935309974,0,0,1,0,0
49-3093,Tire Repairers and Changers,0.5,1,0,0,0,1,0.5,0.6199460916442049,0,0,1,0,0
33-2021,Fire Inspectors and Investigators,0.5,1,0,0,0,1,0.5,0.5956873315363881,0,0,1,0,0
29-1224,Radiologists,0.5,1,0,0,0,1,0.5,0.6199460916442048,0,0,1,0,0
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.5,1,0,0,0,1,0.5,0.4690026954177897,0,1,0,0,0
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.5,1,0,0,0,1,0.5,0.6684636118598383,1,0,0,1,0
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.5,1,0,0,0,1,0.5,0.5336927223719676,0,0,1,0,0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.5,1,0,0,0,1,0.5,0.444743935309973,0,1,0,0,0
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.5,1,0,0,0,1,0.5,0.948787061994609,1,0,0,0,1
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.5,1,0,0,0,1,0.5,0.47978436657681933,0,1,0,0,0
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.5,1,0,0,0,1,0.5,0.5606469002695418,0,0,1,0,0
51-4194,"Tool Grinders, Filers, and Sharpeners",0.5,1,0,0,0,1,0.5,0.4231805929919137,0,1,0,0,0
51-5113,Print Binding and Finishing Workers,0.5,1,0,0,0,1,0.5,0.5175202156334232,0,0,1,0,0
51-7031,"Model Makers, Wood",0.5,1,0,0,0,1,0.5,0.4555256064690027,0,1,0,0,0
51-7032,"Patternmakers, Wood",0.5,1,0,0,0,1,0.5,0.628032345013477,0,0,1,0,0
29-2055,Surgical Technologists,0.5,1,0,0,0,1,0.5,0.986522911051213,1,0,0,0,1
29-1211,Anesthesiologists,0.5,1,0,0,0,1,0.5,0.9299191374663074,1,0,0,0,1
35-2014,"Cooks, Restaurant",0.5,1,0,0,0,1,0.5,0.7924528301886794,1,0,0,0,1
47-5041,Continuous Mining Machine Operators,0.5,1,0,0,0,1,0.5,0.555256064690027,0,0,1,0,0
49-3022,Automotive Glass Installers and Repairers,0.5,1,0,0,0,1,0.5,0.45822102425876016,0,1,0,0,0
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.5,1,0,0,0,1,0.5,0.6091644204851752,0,0,1,0,0
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.5,1,0,0,0,1,0.5,0.9460916442048517,1,0,0,0,1
31-1122,Personal Care Aides,0.5,1,0,0,0,1,0.5,0.9595687331536387,1,0,0,0,1
31-2021,Physical Therapist Assistants,0.5,1,0,0,0,1,0.5,0.9919137466307277,1,0,0,0,1
31-2022,Physical Therapist Aides,0.5,1,0,0,0,1,0.5,0.862533692722372,1,0,0,0,1
53-5022,Motorboat Operators,0.5,1,0,0,0,1,0.5,0.7358490566037734,1,0,0,1,0
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.5,1,0,0,0,1,0.5,0.45822102425876016,0,1,0,0,0
51-4051,Metal-Refining Furnace Operators and Tenders,0.5,1,0,0,0,1,0.5,0.38274932614555257,0,1,0,0,0
51-4052,"Pourers and Casters, Metal",0.5,1,0,0,0,1,0.5,0.4555256064690027,0,1,0,0,0
51-4071,Foundry Mold and Coremakers,0.5,1,0,0,0,1,0.5,0.5714285714285715,0,0,1,0,0
33-1012,First-Line Supervisors of Police and Detectives,0.5,1,0,0,0,1,0.5,0.7816711590296497,1,0,0,0,1
31-2011,Occupational Therapy Assistants,0.5,1,0,0,0,1,0.5,0.954177897574124,1,0,0,0,1
47-2161,Plasterers and Stucco Masons,0.5,1,0,0,0,1,0.5,0.5768194070080863,0,0,1,0,0
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,0.5,1,0,0,0,1,0.5,0.7466307277628031,1,0,0,1,0
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.5,1,0,0,0,1,0.5,0.5434580884627281,0,0,1,0,0
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.5,1,0,0,0,1,0.5,0.5498652291105122,0,0,1,0,0
51-2041,Structural Metal Fabricators and Fitters,0.5,1,0,0,0,1,0.5,0.5687331536388139,0,0,1,0,0
29-1021,"Dentists, General",0.5,1,0,0,0,1,0.5,0.9919137466307277,1,0,0,0,1
29-1131,Veterinarians,0.5,1,0,0,0,1,0.5,0.8463611859838274,1,0,0,0,1
53-3033,Light Truck Drivers,0.5,1,0,0,0,1,0.5,0.4609164420485175,0,1,0,0,0
53-4011,Locomotive Engineers,0.5,1,0,0,0,1,0.5,0.45822102425876016,0,1,0,0,0
53-4041,Subway and Streetcar Operators,0.5,1,0,0,0,1,0.5,0.5876010781671159,0,0,1,0,0
51-2051,Fiberglass Laminators and Fabricators,0.5,1,0,0,0,1,0.5,0.8571428571428571,1,0,0,0,1
51-3021,Butchers and Meat Cutters,0.5,1,0,0,0,1,0.5,0.7466307277628031,1,0,0,1,0
29-1241,"Ophthalmologists, Except Pediatric",0.5,1,0,0,0,1,0.5,0.9784366576819407,1,0,0,0,1
29-2032,Diagnostic Medical Sonographers,0.5,1,0,0,0,1,0.5,0.948787061994609,1,0,0,0,1
19-1032,Foresters,0.5,1,0,0,0,1,0.5,0.4555256064690027,0,1,0,0,0
51-3093,Food Cooking Machine Operators and Tenders,0.5,1,0,0,0,1,0.5,0.6630727762803235,1,0,0,1,0
51-9197,Tire Builders,0.5,1,0,0,0,1,0.5,0.6010781671159031,0,0,1,0,0
29-2061,Licensed Practical and Licensed Vocational Nurses,0.5,1,0,0,0,1,0.5,0.9110512129380054,1,0,0,0,1
29-2091,Orthotists and Prosthetists,0.5,1,0,0,0,1,0.5,0.9110512129380054,1,0,0,0,1
